Билет №1;Определение производной функции y = f(x);Производная функции y = f(x) — это предел отношения приращения функции к приращению аргумента, когда приращение аргумента стремится к нулю;Матанализ
Билет №2;Геометрический смысл производной;Производная в точке — это угловой коэффициент касательной к графику функции в этой точке;Матанализ
Билет №3;Формула производной суммы;Производная суммы равна сумме производных: (f + g)' = f' + g';Матанализ
Билет №4;Формула производной произведения;Производная произведения: (fg)' = f'g + fg';Матанализ
Билет №5;Формула производной частного;Производная частного: (f/g)' = (f'g - fg') / g²;Матанализ
Билет №6;Производная сложной функции;Производная сложной функции: (f(g(x)))' = f'(g(x)) · g'(x);Матанализ
Билет №7;Экстремум функции;Экстремум — точка максимума или минимума функции, где производная равна нулю или не существует;Матанализ
Билет №8;Выпуклость и вогнутость функции;Функция выпукла, если её вторая производная положительна, и вогнута, если отрицательна;Матанализ
Билет №9;Неопределённый интеграл;Неопределённый интеграл — это семейство первообразных функции плюс константа: ∫f(x)dx = F(x) + C;Матанализ
Билет №10;Основная теорема интегрального исчисления;Интеграл от производной функции на интервале равен разности значений первообразной на концах интервала;Матанализ
Билет №1;Определение матрицы;Матрица — это прямоугольная таблица чисел, расположенных в m строках и n столбцах;Линейная алгебра
Билет №2;Сложение матриц;Сложение матриц производится покомпонентно, если они одинакового размера;Линейная алгебра
Билет №3;Умножение матриц;Произведение матриц A и B возможно, если число столбцов A равно числу строк B;Линейная алгебра
Билет №4;Определитель матрицы;Определитель квадратной матрицы — это число, вычисляемое по специальной формуле, характеризующее матрицу;Линейная алгебра
Билет №5;Свойства определителя;Определитель транспонированной матрицы равен определителю исходной;Линейная алгебра
Билет №6;Обратная матрица;Обратная матрица A⁻¹ удовлетворяет условию A · A⁻¹ = I;Линейная алгебра
Билет №7;Ранг матрицы;Ранг матрицы — это максимальное количество линейно независимых строк (или столбцов);Линейная алгебра
Билет №8;Линейная система уравнений;Система линейных уравнений может быть решена методом Гаусса или с помощью матриц;Линейная алгебра
Билет №9;Скалярное произведение векторов;Скалярное произведение двух векторов — это сумма произведений их соответствующих координат;Линейная алгебра
Билет №10;Векторное произведение;Векторное произведение двух векторов в пространстве даёт вектор, перпендикулярный обоим;Линейная алгебра
Билет №1;Второй закон Ньютона;Сила равна произведению массы на ускорение: F = ma;Физика
Билет №2;Закон всемирного тяготения;Сила тяготения: F = G(m₁m₂)/r²;Физика
Билет №3;Импульс тела;Импульс — это произведение массы тела на его скорость: p = mv;Физика
Билет №4;Закон сохранения импульса;В замкнутой системе суммарный импульс сохраняется;Физика
Билет №5;Кинетическая энергия;Кинетическая энергия: Eₖ = ½mv²;Физика
Билет №6;Потенциальная энергия;Потенциальная энергия тела в поле тяжести: Eₚ = mgh;Физика
Билет №7;Механическая работа;Работа силы: A = F · s · cos(α);Физика
Билет №8;Закон сохранения энергии;Полная энергия замкнутой системы сохраняется;Физика
Билет №9;Гармонические колебания;Гармонические колебания описываются функцией x(t) = A cos(ωt + φ);Физика
Билет №10;Закон Ома;Сила тока в цепи: I = U / R;Физика
Билет №1;Алгоритм;Алгоритм — это последовательность действий, приводящих к решению задачи;Информатика
Билет №2;Цикл в программировании;Цикл — это конструкция, повторяющая блок кода несколько раз;Информатика
Билет №3;Условный оператор;Условный оператор выполняет код в зависимости от логического условия;Информатика
Билет №4;Типы данных;Тип данных определяет, какие значения может хранить переменная и какие операции можно проводить;Информатика
Билет №5;Массив;Массив — это упорядоченный набор элементов одного типа;Информатика
Билет №6;Стек;Стек — структура данных, работающая по принципу LIFO (последний вошёл — первый вышел);Информатика
Билет №7;Очередь;Очередь — структура данных, работающая по принципу FIFO (первый вошёл — первый вышел);Информатика
Билет №8;Рекурсия;Рекурсия — вызов функцией самой себя для решения задачи;Информатика
Билет №9;Граф;Граф — это множество вершин и рёбер, соединяющих их;Информатика
Билет №10;Сортировка пузырьком;Сортировка пузырьком — это алгоритм сортировки, многократно проходящий по массиву и меняющий соседние элементы;Информатика
Билет №1;Причины распада Римской империи;Кризис экономики, ослабление армии, набеги варваров;История
Билет №2;Причины французской революции;Социальное неравенство, экономический кризис, просветительские идеи;История
Билет №3;Холодная война;Глобальное противостояние СССР и США после Второй мировой войны;История
Билет №4;НЭП в СССР;Новая экономическая политика — переходная политика восстановления экономики 1920-х годов;История
Билет №5;Причины первой мировой войны;Борьба за колонии, национализм, военные союзы;История
Билет №6;Крещение Руси;Принятие христианства князем Владимиром в 988 году;История
Билет №7;Смутное время в России;Период межвластия, социальных и политических потрясений в начале XVII века;История
Билет №8;Отечественная война 1812 года;Война России с Наполеоном, закончившаяся изгнанием французов;История
Билет №9;Индустриализация в СССР;Форсированное развитие промышленности в 1930-е годы;История
Билет №10;Перестройка;Политика реформ в СССР в 1985–1991 годах, инициированная Горбачёвым;История